,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,HIRE_DATE,SALARY
0,198,Donald,OConnell,DOCONNEL,21-JUN-07,2600
1,199,Douglas,Grant,DGRANT,13-JAN-08,2600
2,200,Jennifer,Whalen,JWHALEN,17-SEP-03,4400
3,201,Michael,Hartstein,MHARTSTE,17-FEB-04,13000
4,202,Pat,Fay,PFAY,17-AUG-05,6000
5,203,Susan,Mavris,SMAVRIS,07-JUN-02,6500
6,204,Hermann,Baer,HBAER,07-JUN-02,10000
7,205,Shelley,Higgins,SHIGGINS,07-JUN-02,12008
8,206,William,Gietz,WGIETZ,07-JUN-02,8300
9,100,Steven,King,SKING,17-JUN-03,24000
10,101,Neena,Kochhar,NKOCHHAR,21-SEP-05,17000
11,102,Lex,De Haan,LDEHAAN,13-JAN-01,17000
12,103,Alexander,Hunold,AHUNOLD,03-JAN-06,9000
13,104,Bruce,Ernst,BERNST,21-MAY-07,6000
14,105,David,Austin,DAUSTIN,25-JUN-05,4800
15,106,Valli,Pataballa,VPATABAL,05-FEB-06,4800
16,107,Diana,Lorentz,DLORENTZ,07-FEB-07,4200
17,108,Nancy,Greenberg,NGREENBE,17-AUG-02,12008
18,109,Daniel,Faviet,DFAVIET,16-AUG-02,9000
19,110,John,Chen,JCHEN,28-SEP-05,8200
20,111,Ismael,Sciarra,ISCIARRA,30-SEP-05,7700
21,112,Jose Manuel,Urman,JMURMAN,07-MAR-06,7800
22,113,Luis,Popp,LPOPP,07-DEC-07,6900
23,114,Den,Raphaely,DRAPHEAL,07-DEC-02,11000
24,115,Alexander,Khoo,AKHOO,18-MAY-03,3100
25,116,Shelli,Baida,SBAIDA,24-DEC-05,2900
26,117,Sigal,Tobias,STOBIAS,24-JUL-05,2800
27,118,Guy,Himuro,GHIMURO,15-NOV-06,2600
28,119,Karen,Colmenares,KCOLMENA,10-AUG-07,2500
29,120,Matthew,Weiss,MWEISS,18-JUL-04,8000
30,121,Adam,Fripp,AFRIPP,10-APR-05,8200
31,122,Payam,Kaufling,PKAUFLIN,01-MAY-03,7900
32,123,Shanta,Vollman,SVOLLMAN,10-OCT-05,6500
33,124,Kevin,Mourgos,KMOURGOS,16-NOV-07,5800
34,125,Julia,Nayer,JNAYER,16-JUL-05,3200
35,126,Irene,Mikkilineni,IMIKKILI,28-SEP-06,2700
36,127,James,Landry,JLANDRY,14-JAN-07,2400
37,128,Steven,Markle,SMARKLE,08-MAR-08,2200
38,129,Laura,Bissot,LBISSOT,20-AUG-05,3300
39,130,Mozhe,Atkinson,MATKINSO,30-OCT-05,2800
40,131,James,Marlow,JAMRLOW,16-FEB-05,2500
41,132,TJ,Olson,TJOLSON,10-APR-07,2100
42,133,Jason,Mallin,JMALLIN,14-JUN-04,3300
43,134,Michael,Rogers,MROGERS,26-AUG-06,2900
44,135,Ki,Gee,KGEE,12-DEC-07,2400
45,136,Hazel,Philtanker,HPHILTAN,06-FEB-08,2200
46,137,Renske,Ladwig,RLADWIG,14-JUL-03,3600
47,138,Stephen,Stiles,SSTILES,26-OCT-05,3200
48,139,John,Seo,JSEO,12-FEB-06,2700
49,140,Joshua,Patel,JPATEL,06-APR-06,2500
